NGC_2253              1 0 0 0  8.702 7.123  7.080   5.1915  3.7365  10.2153  51.91 Scd 100.9242  65.2062
UGC_03513             1 0 0 1  6.611 4.579  3.796   1.6684  3.2684   4.6882 102.46 Scd 100.7157  41.4208
UGC_03531             1 0 0 1  4.955 0.803  2.201  10.4192  7.3838  20.5117 164.95 Sbc 101.3760  25.8305
UGC_03553             1 0 0 0  7.138 5.700  5.201   0.6217  1.1688   1.7182  71.99 Scd 102.4306  20.0815
UGC_03554             1 0 0 0  6.145 2.575  5.472   6.7973  3.0522  11.4184  79.27 Sb  102.6075  43.0534
UGC_03573             0 0 0 0  7.967 6.507  5.933   3.2867  2.8047   6.8674  67.01 Sc  102.9497  27.4816
UGC_03574             1 0 0 0  9.561 9.241  9.356   0.3887  0.2308   0.7143  22.42 Scd 103.2936  57.1778
UGC_03576             1 1 0 0  6.967 2.365  6.149   5.4283  3.3645  10.1623  83.76 Sb  103.2788  50.0341
UGC_03577             1 0 0 0  6.576 4.122  6.431   2.3745  1.1394   4.0497  65.97 Sb  103.5536  65.2027
UGC_03638             1 0 0 0  5.613 3.692  5.612   4.4649  3.4655   9.0510  78.47 Sa  105.7618  49.4243
UGC_03652             1 0 0 0  8.651 7.342  6.466   4.6810  2.0331   7.7188  62.90 Scd 105.9633  22.3695
UGC_03685             1 0 0 0  8.390 7.406  8.616   1.4396  1.1458   2.9298  27.53 Sb  107.2747  61.5955
UGC_03691             1 0 0 0  9.399 8.620  8.513   0.4288  2.0468   1.6294  30.18 Scd 107.0050  15.1790
UGC_03724             1 0 0 0  6.356 3.515  5.548   5.2064  3.8279  10.3349  83.31 Sb  107.8665  48.2401
UGC_03719             0 0 0 0  5.815 3.728  5.633   6.9937  2.3714  10.6191  76.40 Sa  107.7552  48.5127
UGC_03731             0 0 0 0  8.259 6.973  6.258   4.1096  3.0824   8.2057  68.15 Scd 107.9095  29.1683
UGC_03764             1 0 0 0  6.137 3.058  6.937   1.5960  2.2569   3.9579  59.67 Sa  109.2200  67.1112
UGC_03799             1 0 0 0  7.145 5.546  4.635   1.2725  2.1539   3.3708  83.76 Scd 110.0269  53.0101
UGC_03825             1 0 0 1  6.776 2.215  4.993  10.0454  3.3206  15.1121 115.29 Sbc 110.8882  41.4350 1864 53313 171  0.0276  6.7895  0.1012    0.0137         4.3351  0.2624
UGC_03828             1 0 0 0  7.867 6.330  8.120   4.0579  3.4634   8.4663  47.11 Sb  111.1491  57.9675
UGC_03826             1 0 0 0  9.546 9.010  9.304   0.0218  0.2029   0.1042  26.68 Scd 111.1162  61.6939
UGC_03845             1 0 0 0  8.385 6.726  8.515   0.9019  1.3232   2.2696  43.71 Sbc 111.6779  47.0939
UGC_03855             0 0 0 0  7.130 5.981  7.974   7.9248  2.0677  10.9671  46.10 Sa  112.0541  58.5067
UGC_03876             1 0 0 0  9.779 9.540  9.699   0.0036  0.1144   0.0261  12.73 Scd 112.3230  27.9002
UGC_03879             0 0 0 0  7.679 3.343  7.980   0.3177  1.6328   1.2331  67.03 Sbc 112.4331  33.6901
UGC_03912             1 0 0 0  9.670 9.339  9.523   0.0380  0.0765   0.1065  16.31 Irr 113.5527   4.5464
UGC_03944             0 0 0 0  8.730 7.540  6.696   0.9475  1.2143   2.2752  55.03 Scd 114.6521  37.6335  431 51877  34  0.0130  0.8508  0.4333    0.4667 9.0732  0.6577  0.7980
UGC_03962             0 0 0 0  6.163 2.247  4.047  15.7769  9.6298  29.3350 119.40 Sb  115.1234  13.8718
UGC_03973             1 0 0 0  5.940 2.763  4.640  15.7149  6.0866  24.9574  93.50 Sb  115.6358  49.8099
UGC_04013             1 0 0 0  5.935 1.867  4.024   9.5749 17.1755  25.7875 122.82 Sbc 116.8709  60.9336
UGC_04015             1 0 0 0  7.134 5.622  5.520   0.4039  1.2555   1.3179  81.25 Scd 116.9517  62.3242
UGC_04029             0 0 0 0  7.033 3.986  7.130   2.6265  3.0928   6.1191  61.94 Sbc 117.0791  34.3321
UGC_04033             1 0 0 0  5.649 2.893  5.696   2.8754  2.0008   5.5783  84.29 Sa  117.4452  61.3550
UGC_04043             0 0 0 0  8.193 6.872  7.019   2.2477  3.6532   5.8502  49.24 Sc  117.6929  54.3622
UGC_04054             0 0 0 0  8.194 6.971  8.578   0.2877  0.4552   0.7439  29.90 Sb  117.7334  23.8961  928 52578 129  0.0071  0.2227  0.0411    0.1666 8.8730  0.2864  0.7568
UGC_04059             1 0 0 0  6.926 4.738  4.126   0.6011  1.6404   1.8732  93.04 Scd 118.1516  62.5466
UGC_04065             0 0 0 0  6.354 4.455  3.419   8.9478  4.5952  15.6143 105.14 Scd 118.2719  55.2400
